date,quantity_used,material,unit_price,lead_time_days,late_delivery_risk,region,shipping_mode
2015-01-01,3,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,6.0,1,South America,Standard Class
2015-01-01,4,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,2.0,1,Caribbean,First Class
2015-01-01,2,Clicgear 8.0 Shoe Brush,9.989999771,4.0,0,Central America,Standard Class
2015-01-01,18,Diamondback Women's Serene Classic Comfort Bi,299.980011,3.6,1,South America,Standard Class
2015-01-01,15,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,3.9,1,Central America,Standard Class
2015-01-01,5,Glove It Imperial Golf Towel,15.98999977,3.0,1,South America,Second Class
2015-01-01,5,Glove It Urban Brick Golf Towel,15.98999977,6.0,1,Central America,Standard Class
2015-01-01,1,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,6.0,1,South America,Standard Class
2015-01-01,4,Glove It Women's Mod Oval Golf Glove,19.98999977,3.0,0,Central America,Standard Class
2015-01-01,15,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,4.3,1,Central America,Standard Class
2015-01-01,54,Nike Men's Dri-FIT Victory Golf Polo,50.0,3.7,1,Central America,Standard Class
2015-01-01,28,Nike Men's Free 5.0+ Running Shoe,99.98999786,2.9,1,Central America,Standard Class
2015-01-01,4,Nike Women's Legend V-Neck T-Shirt,25.0,3.0,0,Central America,Standard Class
2015-01-01,57,O'Brien Men's Neoprene Life Vest,49.97999954,3.7,1,Central America,Standard Class
2015-01-01,18,Pelican Sunstream 100 Kayak,199.9900055,4.3,1,Central America,Standard Class
2015-01-01,62,Perfect Fitness Perfect Rip Deck,59.99000168,3.7,1,Central America,Standard Class
2015-01-01,5,Team Golf New England Patriots Putter Grip,24.98999977,3.5,1,South America,Standard Class
2015-01-01,2,Team Golf San Francisco Giants Putter Grip,24.98999977,4.0,0,Caribbean,Standard Class
2015-01-01,4,Team Golf Tennessee Volunteers Putter Grip,24.98999977,3.0,1,Central America,Second Class
2015-01-01,4,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,3.0,0,Caribbean,Standard Class
2015-01-01,18,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,4.0,1,Central America,Standard Class
2015-01-01,3,Under Armour Men's Tech II T-Shirt,24.98999977,3.0,0,Central America,Standard Class
2015-01-01,8,Under Armour Women's Ignite Slide,31.98999977,3.0,1,Central America,Standard Class
2015-01-01,2,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168,2.0,1,Central America,First Class
2015-01-02,4,Bag Boy Beverage Holder,24.98999977,4.0,1,Central America,Second Class
2015-01-02,2,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,3.0,0,Caribbean,Standard Class
2015-01-02,15,Diamondback Women's Serene Classic Comfort Bi,299.980011,3.3,1,Central America,Second Class
2015-01-02,10,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,3.7,1,South America,First Class
2015-01-02,3,Nike Dri-FIT Crew Sock 6 Pack,22.0,2.0,0,Caribbean,Standard Class
2015-01-02,20,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,4.1,1,Central America,Standard Class
2015-01-02,50,Nike Men's Dri-FIT Victory Golf Polo,50.0,4.2,1,Central America,Standard Class
2015-01-02,29,Nike Men's Free 5.0+ Running Shoe,99.98999786,3.3,1,Central America,Second Class
2015-01-02,56,O'Brien Men's Neoprene Life Vest,49.97999954,3.6,1,Central America,Standard Class
2015-01-02,9,Pelican Sunstream 100 Kayak,199.9900055,4.7,1,Caribbean,Standard Class
2015-01-02,69,Perfect Fitness Perfect Rip Deck,59.99000168,4.1,1,Central America,Standard Class
2015-01-02,3,TYR Boys' Team Digi Jammer,39.99000168,3.0,0,Caribbean,Standard Class
2015-01-02,5,Team Golf San Francisco Giants Putter Grip,24.98999977,3.0,1,South America,Second Class
2015-01-02,3,Titleist Pro V1 High Numbers Personalized Gol,51.99000168,5.0,1,South America,Standard Class
2015-01-02,40,Under Armour Girls' Toddler Spine Surge Runni,39.99000167999999,3.4,1,Central America,Standard Class
2015-01-02,4,Under Armour Men's Compression EV SL Slide,44.99000168,4.5,1,Central America,Standard Class
2015-01-02,5,Under Armour Men's Tech II T-Shirt,24.98999977,2.0,0,Central America,Standard Class
2015-01-02,4,adidas Youth Germany Black/Red Away Match Soc,70.0,3.0,0,Caribbean,Standard Class
2015-01-03,4,Bridgestone e6 Straight Distance NFL Carolina,31.98999977,6.0,1,Central America,Second Class
2015-01-03,4,Clicgear 8.0 Shoe Brush,9.989999771,4.0,0,Caribbean,Standard Class
2015-01-03,4,Clicgear Rovic Cooler Bag,39.99000168,6.0,1,Caribbean,Standard Class
2015-01-03,13,Diamondback Women's Serene Classic Comfort Bi,299.980011,3.3,1,South America,Standard Class
2015-01-03,20,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,3.1,1,South America,Standard Class
2015-01-03,8,Glove It Women's Imperial Golf Glove,19.98999977,5.0,1,Central America,Standard Class
2015-01-03,4,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,3.0,1,Caribbean,Second Class
2015-01-03,2,Hirzl Men's Hybrid Golf Glove,14.98999977,3.0,1,Caribbean,Second Class
2015-01-03,3,Hirzl Women's Soffft Flex Golf Glove,17.98999977,5.0,1,Central America,Second Class
2015-01-03,3,Nike Dri-FIT Crew Sock 6 Pack,22.0,3.0,0,Caribbean,Standard Class
2015-01-03,17,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,4.1,1,South America,Same Day
2015-01-03,3,Nike Men's Deutschland Weltmeister Winners Bl,30.0,2.0,0,South America,Standard Class
2015-01-03,42,Nike Men's Dri-FIT Victory Golf Polo,50.0,3.4,1,South America,Standard Class
2015-01-03,55,Nike Men's Free 5.0+ Running Shoe,99.98999786,4.2,1,South America,Standard Class
2015-01-03,2,Nike Women's Legend V-Neck T-Shirt,25.0,5.0,1,Caribbean,Standard Class
2015-01-03,45,O'Brien Men's Neoprene Life Vest,49.97999954,3.6,1,Caribbean,Standard Class
2015-01-03,14,Pelican Sunstream 100 Kayak,199.9900055,3.2,1,South America,Standard Class
